window_center_us,qubit_0_fidelity,qubit_1_fidelity,qubit_2_fidelity,qubit_3_fidelity,qubit_4_fidelity
0.1240,0.774264,0.645164,0.856797,0.772437,0.761119
0.2240,0.879044,0.681194,0.906495,0.876196,0.914823
0.3240,0.903241,0.665856,0.895841,0.900902,0.957349
0.4240,0.903374,0.651897,0.875336,0.902851,0.959299
0.5240,0.901482,0.636862,0.855207,0.901217,0.952502
0.6240,0.899030,0.625028,0.839868,0.897877,0.944185
0.7240,0.897212,0.617235,0.824424,0.895514,0.934746
0.8240,0.895173,0.609846,0.811663,0.892489,0.925450
0.9240,0.892415,0.604234,0.801473,0.889031,0.916940
1.0240,0.890287,0.598911,0.790235,0.885921,0.908668
1.1240,0.888289,0.595521,0.781743,0.881691,0.900633
1.2240,0.885495,0.591424,0.774151,0.878361,0.892941
1.3240,0.883376,0.587877,0.766276,0.875113,0.885808
1.4240,0.880265,0.584300,0.760036,0.871571,0.878535
1.5240,0.877846,0.582065,0.754056,0.868957,0.871892
1.6240,0.875918,0.578542,0.748524,0.865340,0.864759
1.7240,0.873721,0.575402,0.743383,0.862137,0.858615
1.8240,0.871699,0.573799,0.738531,0.858519,0.852276
