window_center_us,qubit_0_fidelity,qubit_1_fidelity,qubit_2_fidelity,qubit_3_fidelity,qubit_4_fidelity
0.2500,0.921606,0.704489,0.911636,0.914507,0.958403
0.3500,0.948768,0.715674,0.910979,0.930891,0.967401
0.4500,0.952974,0.696775,0.894570,0.931617,0.965129
0.5500,0.950707,0.679210,0.875269,0.928095,0.958800
0.6500,0.947912,0.664156,0.857959,0.923071,0.950565
0.7500,0.945311,0.651887,0.842686,0.918360,0.941450
0.8500,0.942296,0.641769,0.829287,0.913827,0.932901
0.9500,0.939920,0.634186,0.817335,0.909645,0.924430
1.0500,0.936974,0.627900,0.806682,0.905384,0.916014
1.1500,0.934239,0.622231,0.796750,0.901139,0.908254
1.2500,0.931510,0.617315,0.788202,0.897038,0.900596
1.3500,0.928530,0.612136,0.780606,0.892635,0.893492
1.4500,0.925559,0.608775,0.773400,0.889227,0.886615
1.5500,0.922856,0.605061,0.767049,0.885434,0.879576
1.6500,0.919944,0.601070,0.760779,0.881578,0.872934
